GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Cate,Blanchett,Cate Blanchett,Blanchett Cate Blanchett,Head Office,IT,Senior Network Administrator,CIO,Head Office,Cate.Blanchett,Cate.Blanchett@raudz.com,Cate.Blanchett@raudz.com,C215,4525,20220016,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Matt,Damon,Matt Damon,Damon Matt Damon,Head Office,IT,Junior Network Administrator,CIO,Head Office,Matt.Damon,Matt.Damon@raudz.com,Matt.Damon@raudz.com,C216,4526,20220017,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Ryan,Gosling,Ryan Gosling,Gosling Ryan Gosling,Head Office,IT,Technician,CIO,Head Office,Ryan.Gosling,Ryan.Gosling@raudz.com,Ryan.Gosling@raudz.com,C217,4527,20220018,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Bradley,Cooper,Bradley Cooper,Cooper Bradley Cooper,Head Office,IT,Technician,CIO,Head Office,Bradley.Cooper,Bradley.Cooper@raudz.com,Bradley.Cooper@raudz.com,C218,4528,20220019,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jane,Fonda,Jane Fonda,Fonda Jane Fonda,RRK,Front of House,Hostess,Restaurant Manager,RauDZ Regional Kitchen,Jane.Fonda,Jane.Fonda@raudz.com,Jane.Fonda@raudz.com,N/A,N/A,20220020,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Sally,Field,Sally Field,Field Sally Field,RRK,Front of House,Hostess,Restaurant Manager,RauDZ Regional Kitchen,Sally.Field,Sally.Field@raudz.com,Sally.Field@raudz.com,N/A,N/A,20220021,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Julie,Andrews,Julie Andrews,Andrews Julie Andrews,RRK,Front of House,Bartender,Restaurant Manager,RauDZ Regional Kitchen,Julie.Andrews,Julie.Andrews@raudz.com,Julie.Andrews@raudz.com,N/A,N/A,20220022,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Shirley,Temple,Shirley Temple,Temple Shirley Temple,RRK,Front of House,Bartender,Restaurant Manager,RauDZ Regional Kitchen,Shirley.Temple,Shirley.Temple@raudz.com,Shirley.Temple@raudz.com,N/A,N/A,20220023,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Angelina,Jolie,Angelina Jolie,Jolie Angelina Jolie,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Angelina.Jolie,Angelina.Jolie@raudz.com,Angelina.Jolie@raudz.com,N/A,N/A,20220024,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Sandra,Bullock,Sandra Bullock,Bullock Sandra Bullock,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Sandra.Bullock,Sandra.Bullock@raudz.com,Sandra.Bullock@raudz.com,N/A,N/A,20220025,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Paul,Newman,Paul Newman,Newman Paul Newman,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Paul.Newman,Paul.Newman@raudz.com,Paul.Newman@raudz.com,N/A,N/A,20220026,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jeff,Bridges,Jeff Bridges,Bridges Jeff Bridges,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Jeff.Bridges,Jeff.Bridges@raudz.com,Jeff.Bridges@raudz.com,N/A,N/A,20220027,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Don,Cheadle,Don Cheadle,Cheadle Don Cheadle,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Don.Cheadle,Don.Cheadle@raudz.com,Don.Cheadle@raudz.com,N/A,N/A,20220028,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Vin,Diesel,Vin Diesel,Diesel Vin Diesel,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Vin.Diesel,Vin.Diesel@raudz.com,Vin.Diesel@raudz.com,N/A,N/A,20220029,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Gwyneth,Paltrow,Gwyneth Paltrow,Paltrow Gwyneth Paltrow,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Gwyneth.Paltrow,Gwyneth.Paltrow@raudz.com,Gwyneth.Paltrow@raudz.com,N/A,N/A,20220030,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Marisa,Tomei,Marisa Tomei,Tomei Marisa Tomei,RRK,Front of House,Busser,Restaurant Manager,RauDZ Regional Kitchen,Marisa.Tomei,Marisa.Tomei@raudz.com,Marisa.Tomei@raudz.com,N/A,N/A,20220031,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Michelle,Pfeiffer,Michelle Pfeiffer,Pfeiffer Michelle Pfeiffer,RRK,Front of House,Busser,Restaurant Manager,RauDZ Regional Kitchen,Michelle.Pfeiffer,Michelle.Pfeiffer@raudz.com,Michelle.Pfeiffer@raudz.com,N/A,N/A,20220032,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jennifer,Connelly,Jennifer Connelly,Connelly Jennifer Connelly,RRK,Front of House,Bar-Back,Restaurant Manager,RauDZ Regional Kitchen,Jennifer.Connelly,Jennifer.Connelly@raudz.com,Jennifer.Connelly@raudz.com,N/A,N/A,20220033,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jack,Nicholson,Jack Nicholson,Nicholson Jack Nicholson,RRK,Front of House,Bar-Back,Restaurant Manager,RauDZ Regional Kitchen,Jack.Nicholson,Jack.Nicholson@raudz.com,Jack.Nicholson@raudz.com,N/A,N/A,20220034,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Leonardo,DiCaprio,Leonardo DiCaprio,DiCaprio Leonardo DiCaprio,RRK,Back of House,Sous Chef,Restaurant Manager,RauDZ Regional Kitchen,Leonardo.DiCaprio,Leonardo.DiCaprio@raudz.com,Leonardo.DiCaprio@raudz.com,N/A,N/A,20220035,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Morgan,Freeman,Morgan Freeman,Freeman Morgan Freeman,RRK,Back of House,Sous Chef,Restaurant Manager,RauDZ Regional Kitchen,Morgan.Freeman,Morgan.Freeman@raudz.com,Morgan.Freeman@raudz.com,N/A,N/A,20220036,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Robert,DeNiro,Robert DeNiro,DeNiro Robert DeNiro,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Robert.DeNiro,Robert.DeNiro@raudz.com,Robert.DeNiro@raudz.com,N/A,N/A,20220037,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Daniel,Day-Lewis,Daniel Day-Lewis,Day-Lewis Daniel Day-Lewis,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Daniel.Day-Lewis,Daniel.Day-Lewis@raudz.com,Daniel.Day-Lewis@raudz.com,N/A,N/A,20220038,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Anthony,Hopkins,Anthony Hopkins,Hopkins Anthony Hopkins,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Anthony.Hopkins,Anthony.Hopkins@raudz.com,Anthony.Hopkins@raudz.com,N/A,N/A,20220039,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Benicio,delToro,Benicio delToro,delToro Benicio delToro,RRK,Back of House,Warewasher,Restaurant Manager,RauDZ Regional Kitchen,Benicio.delToro,Benicio.delToro@raudz.com,Benicio.delToro@raudz.com,N/A,N/A,20220040,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Peter,Dinklage,Peter Dinklage,Dinklage Peter Dinklage,RRK,Back of House,Warewasher,Restaurant Manager,RauDZ Regional Kitchen,Peter.Dinklage,Peter.Dinklage@raudz.com,Peter.Dinklage@raudz.com,N/A,N/A,20220041,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Julia,Roberts,Julia Roberts,Roberts Julia Roberts,MBB,Front of House,Hostess,Restaurant Manager,Micro Bar & Bistro,Julia.Roberts,Julia.Roberts@raudz.com,Julia.Roberts@raudz.com,N/A,N/A,20220042,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Charlize,Theron,Charlize Theron,Theron Charlize Theron,MBB,Front of House,Hostess,Restaurant Manager,Micro Bar & Bistro,Charlize.Theron,Charlize.Theron@raudz.com,Charlize.Theron@raudz.com,N/A,N/A,20220043,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Hilary,Swank,Hilary Swank,Swank Hilary Swank,MBB,Front of House,Bartender,Restaurant Manager,Micro Bar & Bistro,Hilary.Swank,Hilary.Swank@raudz.com,Hilary.Swank@raudz.com,N/A,N/A,20220044,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Nicole,Kidman,Nicole Kidman,Kidman Nicole Kidman,MBB,Front of House,Bartender,Restaurant Manager,Micro Bar & Bistro,Nicole.Kidman,Nicole.Kidman@raudz.com,Nicole.Kidman@raudz.com,N/A,N/A,20220045,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Brie,Larson,Brie Larson,Larson Brie Larson,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Brie.Larson,Brie.Larson@raudz.com,Brie.Larson@raudz.com,N/A,N/A,20220046,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Lupita,Nyongo,Lupita Nyongo,Nyongo Lupita Nyongo,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Lupita.Nyongo,Lupita.Nyongo@raudz.com,Lupita.Nyongo@raudz.com,N/A,N/A,20220047,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Natalie,Portman,Natalie Portman,Portman Natalie Portman,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Natalie.Portman,Natalie.Portman@raudz.com,Natalie.Portman@raudz.com,N/A,N/A,20220048,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Margot,Robbie,Margot Robbie,Robbie Margot Robbie,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Margot.Robbie,Margot.Robbie@raudz.com,Margot.Robbie@raudz.com,N/A,N/A,20220049,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Elvis,Presley,Elvis Presley,Presley Elvis Presley,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Elvis.Presley,Elvis.Presley@raudz.com,Elvis.Presley@raudz.com,N/A,N/A,20220050,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Roger,Waters,Roger Waters,Waters Roger Waters,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Roger.Waters,Roger.Waters@raudz.com,Roger.Waters@raudz.com,N/A,N/A,20220051,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Alice,Cooper,Alice Cooper,Cooper Alice Cooper,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Alice.Cooper,Alice.Cooper@raudz.com,Alice.Cooper@raudz.com,N/A,N/A,20220052,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Aretha,Franklin,Aretha Franklin,Franklin Aretha Franklin,MBB,Front of House,Busser,Restaurant Manager,Micro Bar & Bistro,Aretha.Franklin,Aretha.Franklin@raudz.com,Aretha.Franklin@raudz.com,N/A,N/A,20220053,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Axl,Rose,Axl Rose,Rose Axl Rose,MBB,Front of House,Busser,Restaurant Manager,Micro Bar & Bistro,Axl.Rose,Axl.Rose@raudz.com,Axl.Rose@raudz.com,N/A,N/A,20220054,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Bob,Dylan,Bob Dylan,Dylan Bob Dylan,MBB,Front of House,Bar-Back,Restaurant Manager,Micro Bar & Bistro,Bob.Dylan,Bob.Dylan@raudz.com,Bob.Dylan@raudz.com,N/A,N/A,20220055,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Bob,Marley,Bob Marley,Marley Bob Marley,MBB,Front of House,Bar-Back,Restaurant Manager,Micro Bar & Bistro,Bob.Marley,Bob.Marley@raudz.com,Bob.Marley@raudz.com,N/A,N/A,20220056,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Bruce,Springsteen,Bruce Springsteen,Springsteen Bruce Springsteen,MBB,Back of House,Sous Chef,Restaurant Manager,Micro Bar & Bistro,Bruce.Springsteen,Bruce.Springsteen@raudz.com,Bruce.Springsteen@raudz.com,N/A,N/A,20220057,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Eddie,Vedder,Eddie Vedder,Vedder Eddie Vedder,MBB,Back of House,Sous Chef,Restaurant Manager,Micro Bar & Bistro,Eddie.Vedder,Eddie.Vedder@raudz.com,Eddie.Vedder@raudz.com,N/A,N/A,20220058,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Kurt,Cobain,Kurt Cobain,Cobain Kurt Cobain,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,Kurt.Cobain,Kurt.Cobain@raudz.com,Kurt.Cobain@raudz.com,N/A,N/A,20220059,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Dave,Grohl,Dave Grohl,Grohl Dave Grohl,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,Dave.Grohl,Dave.Grohl@raudz.com,Dave.Grohl@raudz.com,N/A,N/A,20220060,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
David,Bowie,David Bowie,Bowie David Bowie,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,David.Bowie,David.Bowie@raudz.com,David.Bowie@raudz.com,N/A,N/A,20220061,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Elton,John,Elton John,John Elton John,MBB,Back of House,Warewasher,Restaurant Manager,Micro Bar & Bistro,Elton.John,Elton.John@raudz.com,Elton.John@raudz.com,N/A,N/A,20220062,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Emin,Em,Emin Em,Em Emin Em,MBB,Back of House,Warewasher,Restaurant Manager,Micro Bar & Bistro,Emin.Em,Emin.Em@raudz.com,Emin.Em@raudz.com,N/A,N/A,20220063,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Chuck,Berry,Chuck Berry,Berry Chuck Berry,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Chuck.Berry,Chuck.Berry@raudz.com,Chuck.Berry@raudz.com,N/A,N/A,20220064,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jimmy,Cliff,Jimmy Cliff,Cliff Jimmy Cliff,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Jimmy.Cliff,Jimmy.Cliff@raudz.com,Jimmy.Cliff@raudz.com,N/A,N/A,20220065,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Freddy,Mercury,Freddy Mercury,Mercury Freddy Mercury,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Freddy.Mercury,Freddy.Mercury@raudz.com,Freddy.Mercury@raudz.com,N/A,N/A,20220066,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Gwen,Stefani,Gwen Stefani,Stefani Gwen Stefani,SMD,Front of House,Hostess,Restaurant Manager,Sunny's Modern Diner,Gwen.Stefani,Gwen.Stefani@raudz.com,Gwen.Stefani@raudz.com,N/A,N/A,20220067,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Gene,Simmons,Gene Simmons,Simmons Gene Simmons,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Gene.Simmons,Gene.Simmons@raudz.com,Gene.Simmons@raudz.com,N/A,N/A,20220068,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Paul,Stanley,Paul Stanley,Stanley Paul Stanley,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Paul.Stanley,Paul.Stanley@raudz.com,Paul.Stanley@raudz.com,N/A,N/A,20220069,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jerry,Garcia,Jerry Garcia,Garcia Jerry Garcia,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Jerry.Garcia,Jerry.Garcia@raudz.com,Jerry.Garcia@raudz.com,N/A,N/A,20220070,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Otis,Redding,Otis Redding,Redding Otis Redding,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Otis.Redding,Otis.Redding@raudz.com,Otis.Redding@raudz.com,N/A,N/A,20220071,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Neil,Young,Neil Young,Young Neil Young,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Neil.Young,Neil.Young@raudz.com,Neil.Young@raudz.com,N/A,N/A,20220072,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Steven,Tyler,Steven Tyler,Tyler Steven Tyler,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Steven.Tyler,Steven.Tyler@raudz.com,Steven.Tyler@raudz.com,N/A,N/A,20220073,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Tina,Turner,Tina Turner,Turner Tina Turner,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Tina.Turner,Tina.Turner@raudz.com,Tina.Turner@raudz.com,N/A,N/A,20220074,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Stevie,Nicks,Stevie Nicks,Nicks Stevie Nicks,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Stevie.Nicks,Stevie.Nicks@raudz.com,Stevie.Nicks@raudz.com,N/A,N/A,20220075,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Roger,Daltrey,Roger Daltrey,Daltrey Roger Daltrey,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Roger.Daltrey,Roger.Daltrey@raudz.com,Roger.Daltrey@raudz.com,N/A,N/A,20220076,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Sid,Vicious,Sid Vicious,Vicious Sid Vicious,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Sid.Vicious,Sid.Vicious@raudz.com,Sid.Vicious@raudz.com,N/A,N/A,20220077,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Sinead,OConnor,Sinead OConnor,OConnor Sinead OConnor,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Sinead.OConnor,Sinead.OConnor@raudz.com,Sinead.OConnor@raudz.com,N/A,N/A,20220078,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
The,Edge,The Edge,Edge The Edge,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,The.Edge,The.Edge@raudz.com,The.Edge@raudz.com,N/A,N/A,20220079,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Tom,Petty,Tom Petty,Petty Tom Petty,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,Tom.Petty,Tom.Petty@raudz.com,Tom.Petty@raudz.com,N/A,N/A,20220080,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Van,Morrison,Van Morrison,Morrison Van Morrison,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,Van.Morrison,Van.Morrison@raudz.com,Van.Morrison@raudz.com,N/A,N/A,20220081,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Joan,Jett,Joan Jett,Jett Joan Jett,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,Joan.Jett,Joan.Jett@raudz.com,Joan.Jett@raudz.com,N/A,N/A,20220082,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
John,Fogerty,John Fogerty,Fogerty John Fogerty,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,John.Fogerty,John.Fogerty@raudz.com,John.Fogerty@raudz.com,N/A,N/A,20220083,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
John,Lennon,John Lennon,Lennon John Lennon,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,John.Lennon,John.Lennon@raudz.com,John.Lennon@raudz.com,N/A,N/A,20220084,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Janis,Joplin,Janis Joplin,Joplin Janis Joplin,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,Janis.Joplin,Janis.Joplin@raudz.com,Janis.Joplin@raudz.com,N/A,N/A,20220085,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jacques,Lennon,Jacques Lennon,Lennon Jacques Lennon,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Jacques.Lennon,Jacques.Lennon@raudz.com,Jacques.Lennon@raudz.com,N/A,N/A,20220086,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Peter,Gabriel,Peter Gabriel,Gabriel Peter Gabriel,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Peter.Gabriel,Peter.Gabriel@raudz.com,Peter.Gabriel@raudz.com,N/A,N/A,20220087,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
